,Model,Hafiza,Ekran_Boyutu,Garanti,Kamera_Cozunurluk,Baglanti_Hizi,Pil_Gucu,RAM,Fiyat
0,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
1,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
2,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
3,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
4,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
5,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
6,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
7,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
8,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
9,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
10,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
11,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
12,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
13,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,0.0
14,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
15,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
16,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
17,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
18,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
19,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,0.0
20,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
21,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
22,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
23,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
24,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
25,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
26,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
27,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
28,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
29,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
30,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
31,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
32,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
33,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
34,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
35,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
36,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
37,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
38,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
39,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
40,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
41,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
42,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
43,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
44,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
45,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
46,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
47,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
48,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
49,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
50,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
51,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
52,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
53,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
54,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
55,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
56,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
57,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
58,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
59,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
60,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
61,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
62,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
63,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
64,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
65,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
66,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
67,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
68,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
69,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
70,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
71,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
72,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
73,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
74,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
75,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
76,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
77,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
78,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
79,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
80,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
81,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
82,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
83,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
84,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
85,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
86,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
87,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
88,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
89,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
90,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
91,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
92,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
93,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
94,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
95,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
96,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
97,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
98,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
99,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,0.0
100,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
101,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
102,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
103,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
104,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
105,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
106,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
107,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
108,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
109,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
110,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
111,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
112,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
113,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
114,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
115,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
116,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
117,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
118,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
119,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
120,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
121,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
122,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
123,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
124,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
125,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
126,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
127,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
128,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
129,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
130,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
131,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
132,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
133,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
134,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,0.0
135,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
136,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
137,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
138,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
139,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
140,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
141,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
142,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
143,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
144,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
145,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
146,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
147,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
148,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
149,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
